[2026-09-13 21:25:37 TP0 EP0] Decode batch, #running-req: 1, #full token: 94208, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.94, #queue-req: 0
[2026-09-13 21:25:38 TP0 EP0] Decode batch, #running-req: 1, #full token: 94464, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.87, #queue-req: 0
[2026-09-13 21:25:38 TP0 EP0] Decode batch, #running-req: 1, #full token: 94720, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.46, #queue-req: 0
[2026-09-13 21:25:39 TP0 EP0] Decode batch, #running-req: 1, #full token: 94976, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.36, #queue-req: 0
[2026-09-13 21:25:39 TP0 EP0] Decode batch, #running-req: 1, #full token: 95232, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.93, #queue-req: 0
[2026-09-13 21:25:39 TP0 EP0] Decode batch, #running-req: 1, #full token: 95488, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.48, #queue-req: 0
[2026-09-13 21:25:40 TP0 EP0] Decode batch, #running-req: 1, #full token: 95744, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.84, #queue-req: 0
[2026-09-13 21:25:40 TP0 EP0] Decode batch, #running-req: 1, #full token: 96000, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.33, #queue-req: 0
[2026-09-13 21:25:40 TP0 EP0] Decode batch, #running-req: 1, #full token: 96256, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.67, #queue-req: 0
[2026-09-13 21:25:41 TP0 EP0] Decode batch, #running-req: 1, #full token: 96512, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.72, #queue-req: 0
[2026-09-13 21:25:41 TP0 EP0] Decode batch, #running-req: 1, #full token: 96768, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.05, #queue-req: 0
